Date,Up
1/17/2016,-82.67
1/18/2016,-90.921
1/19/2016,-86.672
1/20/2016,-86.734
1/21/2016,-91.896
1/22/2016,-86.308
1/23/2016,-89.036
1/24/2016,-86.102
1/25/2016,-84.866
1/26/2016,-84.251
1/27/2016,-81.268
1/28/2016,-86.626
1/29/2016,-90.644
1/30/2016,-87.926
1/31/2016,-87.418
2/1/2016,-86.996
2/2/2016,-89.615
2/3/2016,-87.143
2/4/2016,-91.177
2/5/2016,-92.931
2/6/2016,-94.64
2/7/2016,-100.992
2/8/2016,-92.785
2/9/2016,-87.066
2/10/2016,-93.644
2/11/2016,-85.79
2/12/2016,-89.058
2/13/2016,-88.219
2/14/2016,-91.945
2/15/2016,-93.929
2/16/2016,-90.876
2/17/2016,-92.848
2/18/2016,-91.7
2/19/2016,-89.591
2/20/2016,-80.736
2/21/2016,-90.561
2/22/2016,-100.286
2/23/2016,-96.14
2/24/2016,-89.758
2/25/2016,-94.469
2/26/2016,-100.627
2/27/2016,-99.158
2/28/2016,-98.211
2/29/2016,-101.178
3/1/2016,-96.346
3/2/2016,-99.748
3/3/2016,-100.367
3/4/2016,-100.781
3/5/2016,-89.883
3/6/2016,-90.641
3/7/2016,-90.813
3/8/2016,-91.124
3/9/2016,-87.398
3/10/2016,-96.632
3/11/2016,-91.903
3/12/2016,-91.05
3/13/2016,-95.924
3/14/2016,-90.966
3/15/2016,-96.313
3/16/2016,-96.761
3/17/2016,-97.641
3/18/2016,-96.4
3/19/2016,-94.385
3/20/2016,-98.866
3/21/2016,-100.647
3/22/2016,-98.914
3/23/2016,-97.737
3/24/2016,-100.512
3/25/2016,-101.534
3/26/2016,-101.618
3/27/2016,-101.39
3/28/2016,-94.758
3/29/2016,-94.954
3/30/2016,-95.16
3/31/2016,-88.553
4/2/2016,-99.806
4/3/2016,-100.466
4/4/2016,-95.333
4/5/2016,-91.33
4/6/2016,-94.402
4/7/2016,-104.333
4/8/2016,-93.002
4/9/2016,-92.92
4/10/2016,-92.446
4/11/2016,-90.766
4/12/2016,-90.446
4/13/2016,-91.316
4/14/2016,-94.205
4/15/2016,-95.932
4/16/2016,-83.094
4/17/2016,-93.87
4/18/2016,-101.345
4/19/2016,-91.343
4/20/2016,-91.738
4/21/2016,-87.296
4/22/2016,-97.653
4/23/2016,-99.397
4/24/2016,-97.823
4/25/2016,-89.296
4/26/2016,-96.003
4/27/2016,-80.129
4/28/2016,-99.572
4/29/2016,-94.355
4/30/2016,-92.674
5/1/2016,-99.324
5/2/2016,-95.438
5/3/2016,-93.146
5/4/2016,-91.612
5/5/2016,-98.297
5/6/2016,-98.299
5/7/2016,-108.059
5/8/2016,-101.205
5/9/2016,-102.54
5/10/2016,-100.916
5/11/2016,-96.165
5/12/2016,-90.92
5/13/2016,-93.866
5/14/2016,-98.56
5/15/2016,-109.634
5/16/2016,-98.102
5/17/2016,-87.563
5/18/2016,-105.28
5/19/2016,-89.102
5/20/2016,-99.427
5/21/2016,-102.053
5/22/2016,-104.005
5/23/2016,-94.224
5/24/2016,-100.292
5/25/2016,-103.596
5/26/2016,-101.078
5/27/2016,-103.556
5/28/2016,-84.94
5/29/2016,-101.979
5/30/2016,-104.853
5/31/2016,-94.035
6/1/2016,-105.982
6/2/2016,-108.747
6/3/2016,-105.627
6/4/2016,-114.679
6/5/2016,-108.283
6/6/2016,-117.522
6/7/2016,-89.575
6/8/2016,-112.449
6/9/2016,-112.254
6/10/2016,-109.877
6/11/2016,-109.346
6/12/2016,-108.751
6/13/2016,-117.222
6/14/2016,-106.063
6/15/2016,-92.911
6/16/2016,-110.267
6/17/2016,-114.09
6/18/2016,-120.695
6/19/2016,-124.268
6/20/2016,-113.552
6/21/2016,-112.667
6/22/2016,-122.687
6/23/2016,-113.935
6/24/2016,-115.467
6/25/2016,-119.708
6/26/2016,-114.946
6/27/2016,-119.308
6/28/2016,-125.158
6/29/2016,-116.685
6/30/2016,-121.812
7/1/2016,-107.459
